mspe_ratio,_varname
3.9116466,mspe_ratio_treated
.99874407,mspe_ratio_gap1
1.3474748,mspe_ratio_gap2
.60381675,mspe_ratio_gap3
.83523589,mspe_ratio_gap4
1.5684667,mspe_ratio_gap5
3.5319207,mspe_ratio_gap6
1.7548194,mspe_ratio_gap7
.62408662,mspe_ratio_gap8
2.3955219,mspe_ratio_gap9
1.4720867,mspe_ratio_gap10
.37846032,mspe_ratio_gap11
3.3618989,mspe_ratio_gap12
.68217278,mspe_ratio_gap13
