mspe_ratio,_varname
42.077843,mspe_ratio_treated
3.1824732,mspe_ratio_gap1
12.207623,mspe_ratio_gap2
4.3427277,mspe_ratio_gap3
3.0212038,mspe_ratio_gap4
5.1262522,mspe_ratio_gap5
23.831959,mspe_ratio_gap6
.84158039,mspe_ratio_gap7
1.8777589,mspe_ratio_gap8
2.4292877,mspe_ratio_gap9
7.1575089,mspe_ratio_gap10
2.6551211,mspe_ratio_gap11
18.306648,mspe_ratio_gap12
146.97842,mspe_ratio_gap13
