mspe_ratio,_varname
89.281166,mspe_ratio_treated
1.455332,mspe_ratio_gap1
1.2643207,mspe_ratio_gap2
1.2258781,mspe_ratio_gap3
3.9219112,mspe_ratio_gap4
3.6974671,mspe_ratio_gap5
2.6407907,mspe_ratio_gap6
5.7519574,mspe_ratio_gap7
11.4243,mspe_ratio_gap8
1.1782234,mspe_ratio_gap9
1.9666477,mspe_ratio_gap10
9.2171392,mspe_ratio_gap11
.26910764,mspe_ratio_gap12
1.5056579,mspe_ratio_gap13
3.2558284,mspe_ratio_gap14
