mspe_ratio,_varname
296.4635,mspe_ratio_treated
5.4214139,mspe_ratio_gap1
23.057085,mspe_ratio_gap2
.89398396,mspe_ratio_gap3
.16605479,mspe_ratio_gap4
2.8284125,mspe_ratio_gap5
56.482689,mspe_ratio_gap6
.51410162,mspe_ratio_gap7
64.270493,mspe_ratio_gap8
2.7966387,mspe_ratio_gap9
.27195814,mspe_ratio_gap10
11.661525,mspe_ratio_gap11
100.39198,mspe_ratio_gap12
1.032656,mspe_ratio_gap13
1.2008618,mspe_ratio_gap14
2.4177201,mspe_ratio_gap15
5.5584712,mspe_ratio_gap16
